x,y,z,intensity,volume,csv_path
7.66,4.68,6.97,36983200,246.67,Q7.13/R_3j9w1bGwWGd8yOC_nuclei2.csv
8.31,13.21,6.77,88197904,487.39,Q7.13/R_3j9w1bGwWGd8yOC_nuclei2.csv
15.8326827,17.9930974,5.106,81365806,762.4294146,Q7.13/R_cHLBH1bftzVtPDH_nuclei2.csv
8.720523222,13.2451373,7.2162,146344860,1279.078607,Q7.13/R_cHLBH1bftzVtPDH_nuclei2.csv
7.033047442,4.990372248,6.8694,93396882,1005.741841,Q7.13/R_cHLBH1bftzVtPDH_nuclei2.csv
23.52883508,20.51366375,8.3358,119118913,1186.835151,Q7.13/R_cHLBH1bftzVtPDH_nuclei2.csv
17.2791082,12.74768479,10.5148,92768516,876.0491962,Q7.13/R_cHLBH1bftzVtPDH_nuclei2.csv
7.463796913,4.337934762,6.81003679,71060008,640.8470784,Q7.13/R_eRvCx60GZHVIflf_nuclei2.csv
8.304195139,13.23204498,6.826783083,128815132,917.4736192,Q7.13/R_eRvCx60GZHVIflf_nuclei2.csv
22.80577538,20.34539603,8.556103514,117144266,962.9404512,Q7.13/R_eRvCx60GZHVIflf_nuclei2.csv
16.47305382,16.6904575,4.65252403,60687739,442.9149056,Q7.13/R_eRvCx60GZHVIflf_nuclei2.csv
16.02983883,12.73377431,10.96902291,80387028,594.2547232,Q7.13/R_eRvCx60GZHVIflf_nuclei2.csv
16.5166159566,16.0554153758,4.527206814,83910645.9688721,311.41728,Q7.13/R_3kpixa7Fm6wlFk2_nuclei2.csv
7.762064828,13.0796861883,6.5821660623,133076836.729431,393.1632,Q7.13/R_3kpixa7Fm6wlFk2_nuclei2.csv
7.405012493,4.0235857126,6.7219494411,87081952.8602905,323.89344,Q7.13/R_3kpixa7Fm6wlFk2_nuclei2.csv
22.5151732074,20.0292806965,8.7218494766,116223327.166321,357.90624,Q7.13/R_3kpixa7Fm6wlFk2_nuclei2.csv
15.0076302216,12.4873250999,11.2830530331,92760809.2895508,317.1456,Q7.13/R_3kpixa7Fm6wlFk2_nuclei2.csv
16.871834,16.31515777,4.503465479,61884713,417.57,Q7.13/R_3kaX79RV1ul5JuI_nuclei2.csv
8.314718938,13.28474607,6.591228319,92137143.27,524.7432,Q7.13/R_3kaX79RV1ul5JuI_nuclei2.csv
7.62942222,4.570277234,6.852483037,43128813.72,297.8852,Q7.13/R_3kaX79RV1ul5JuI_nuclei2.csv
22.71850789,20.23171328,8.85598168,74537871.09,449.4256,Q7.13/R_3kaX79RV1ul5JuI_nuclei2.csv
15.41128285,13.09629479,11.30138044,68327319.07,440.1504,Q7.13/R_3kaX79RV1ul5JuI_nuclei2.csv
25.9249,23.0655,18.4357,80910400,677.728,Q7.13/R_2rCMx6wAGE7bFJh_nuclei2.csv
18.9864,18.6557,14.3759,53712500,472.186,Q7.13/R_2rCMx6wAGE7bFJh_nuclei2.csv
